微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
OaKVElfUq,【#神十八发射场区全系统合练#】#神十八近日将择机发射#神舟十八号载人飞船计划将于近日择机发射，今天，酒泉卫星发射中心组织各单位展开全系统合练。此次合练按照正式发射程序进行，在发射场系统的统一调度下，塔架、火箭、飞船等分系统进行功能检查，从飞行准备、点火起飞到船箭分离，实施全过程模...全文 原图 ,,https://wx3.sinaimg.cn/large/002TLsr9ly1hoyjip9xjmj60dw0dwgs302.jpg,无,无,2024-04-21 16:36,微博网页版,140,22,42
OaKOE1dxZ,【#建230个吃瓜群发谣言给境外网站引流#】#在吃瓜群扫个码到黄赌网站了#近日，上海警方破获一起利用谣言为境外网站引流的案件。吴某等3人与境外不法网站取得联系，建了230个微信群，每个群有80至160人。他们蹭热点编造虚假视频，附带二维码，引诱群里的人登陆境外色情、赌博等网站。通过深挖扩线，警...全文 ,,无,"https://f.video.weibocdn.com/o0/PtBoQF0clx08efZoGuIw01041200e2oS0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713692687&ssig=j8%2F7%2BqDjYO&KID=unistore,video",无,2024-04-21 16:19,微博视频号,279,54,75
OaKs5zZiF,【#两人维保电梯一人竟是纸片人#】#电梯维保走过场有了故障能赚钱#上海一超市里女子腰部以下卷入扶梯，事故引发对电梯安全的关注。我国投用的电梯已超1000万台，日常维护保养至关重要。但一些维保人员为应付检查、满足“不少于两人”的要求，居然带“纸片人”作业，还精心为“纸片人”制作...全文 ,,无,"https://f.video.weibocdn.com/o0/RnqweljClx08efVt1x5u01041200NtMU0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713692691&ssig=FgaHXzfco9&KID=unistore,video",无,2024-04-21 15:24,微博视频号,1071,170,247
OaK2T97cf,【#周冠宇头盔含沪量好高#】#周冠宇说国旗一直是我的动力#今天15时，中国首位F1车手@车手周冠宇 ，将在家乡上海参加F1中国大奖赛正赛。他的头盔绘有上海地铁线路图，还有多个上海地标建筑。“头盔后面的小男孩20年后终于迎来了主场作战！”周冠宇回忆，职业生涯第一次在国外夺冠时，没...全文 ,,无,"https://f.video.weibocdn.com/o0/ZbVwP1gQlx08efRl3Q0w01041201gz6D0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713692696&ssig=tq0EZ1UZTd&KID=unistore,video",无,2024-04-21 14:22,微博视频号,2375,564,309
OaJJq7lVE,【#广西一厂房房顶被强风撕碎#】#广西多地雷暴大风冰雹#4月19日白天至20日早上，广西部分地区出现暴雨到大暴雨天气，多地出现雷暴、大风、冰雹等天气。受短时对流和强降雨影响，藤县某陶瓷厂部分老旧厂房的房顶被强风吹起、塌落↓经排查确认无人员被困，个别人员受轻伤，均无生命危险。预计今天，崇...全文 ,,无,"https://f.video.weibocdn.com/o0/4v1SjPZvlx08efO0pmCk010412007ff10E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1713692700&ssig=2VOG4sancX&KID=unistore,video",无,2024-04-21 13:34,微博视频号,693,141,335
OaJuosf6S,【#印尼警方通报中国游客坠崖情况#】#中国游客在印尼火山口拍照坠亡#当地时间21日，印尼警方通报中国籍游客在伊真火山坠崖的情况。警方称，该中国籍游客31岁，在伊真火山口边缘拍照时，坠入数十米深的峡谷中死亡。印尼东爪哇自然资源保护署官员称，该游客坠入约75米深的峡谷，救援人员用时2个小时才...全文 原图 ,,https://wx2.sinaimg.cn/large/002TLsr9ly1hoyd5p8khvj60dw0dwwl002.jpg,无,无,2024-04-21 12:57,微博网页版,1432,184,330
OaJjKr7Ns,【#珠江流域北江将有特大洪水#】总台记者从水利部了解到，受近日强降雨影响，珠江流域北江出现明显洪水过程，4月20日20时45分，北江发生2024年第2号洪水。据预报，近期华南地区强降雨仍将持续，珠江流域北江将发生特大洪水。水利部将针对广东省的洪水防御应急响应提升至Ⅲ级，紧急加派三个工作组赴广...全文 ,,无,无,无,2024-04-21 12:31,微博视频号,863,182,285
OaJ91t24u,【直播！#山谷间4000亩杜鹃花海宛如粉色云霞#】这两天，辽宁本溪的老边沟风景区内，#漫山遍野的杜鹃花绚烂了整个春天#，像给山谷涂上胭脂。戳↓↓一起欣赏~（总台记者王亚男 金光宇）  央视新闻的微博视频  ,,无,"https://live.video.weibocdn.com/d86b4473-0212-493a-8a7a-8af079a299f2_index.m3u8?Expires=1713692708&ssig=C7mACLSoWw&KID=unistore,video",无,2024-04-21 12:04,微博直播,715,187,369
OaIUEyu9g,【#你能分清油菜花和板蓝根吗#】#原来油菜花和板蓝根是亲戚#近日，在山西运城万荣县，3000多亩板蓝根花，开成金黄色花海。油菜和北板蓝根（菘蓝）都属于十字花科，长相相似。下面哪张图是板蓝根花？考考你↓↓ 哪张图是板蓝根花？  ,,无,无,无,2024-04-21 11:29,微博网页版,17696,230,523
OaIGOE6ap,#台湾花莲县海域5级地震#【#台湾5.0级地震#】中国地震台网正式测定：今天10时40分在台湾花莲县海域（北纬23.49度，东经121.60度）发生5.0级地震，震源深度20千米。 网友反映，福建福州、泉州、厦门有震感。 #台湾地震#  原图 ,,https://wx2.sinaimg.cn/large/002TLsr9ly1hoy9mp54i9j60m80gomyy02.jpg,无,无,2024-04-21 10:55,微博网页版,4047,1073,1154
